Class,Accuracy,Precision,Recall,F1-Score (Macro),F1-Score (Weighted)
WA,95.31,57.95,56.45,57.19,57.19
WZ,90.44,65.15,76.13,70.21,70.21
WS,97.73,65.59,53.67,59.03,59.03
WW,97.05,55.0,56.79,55.88,55.88
SWA,97.73,56.07,47.35,51.34,51.34
SWZ,96.8,60.05,54.57,57.18,57.18
NWA,98.69,63.79,41.34,50.17,50.17
NWZ,95.26,53.55,52.98,53.26,53.26
HM,94.68,60.77,66.92,63.7,63.7
BM,92.14,50.05,62.39,55.54,55.54
TM,98.1,55.5,49.36,52.25,52.25
NA,99.29,71.43,21.98,33.61,33.61
NZ,97.72,61.59,55.28,58.27,58.27
HNA,98.1,58.51,63.46,60.89,60.89
HNZ,98.17,56.19,47.6,51.54,51.54
HB,97.49,58.81,67.33,62.78,62.78
TRM,95.92,53.19,51.44,52.3,52.3
NEA,98.3,62.42,44.59,52.02,52.02
NEZ,97.75,53.44,49.07,51.16,51.16
HFA,96.8,55.33,66.91,60.57,60.57
HFZ,98.38,55.06,49.25,51.99,51.99
HNFA,98.84,62.99,49.08,55.17,55.17
HNFZ,97.55,53.96,61.13,57.32,57.32
SEA,98.08,54.44,42.42,47.69,47.69
SEZ,98.54,55.08,37.14,44.37,44.37
SA,98.67,67.66,54.33,60.27,60.27
SZ,99.07,63.39,52.99,57.72,57.72
TB,98.15,64.98,55.4,59.81,59.81
TRW,96.2,57.36,54.45,55.87,55.87
General,53.17,58.94,53.17,55.14,58.09
